"","x"
"460","79075"
"461","29028"
"462","5820"
"463","9401"
"464","81704"
"465","158326"
"466","347240"
"467","2189"
"468","9833"
"469","55071"
"470","1164"
"471","401541"
"472","195828"
"473","10592"
"474","54566"
"475","3371"
"476","26147"
"477","57000"
"478","286204"
"479","29941"
"480","10319"
"481","84628"
"482","9719"
"483","1757"
"484","89958"
"485","441478"
"486","10742"
"487","9468"
"488","6839"
"489","60401"
"490","24137"
"491","54821"
"492","9452"
"493","2491"
"494","11013"
"495","55859"
"496","9363"
"497","51765"
"498","347475"
"499","644538"
"500","5365"
"501","57595"
