"","DOX_24T_1","DMSO_24T_1","DOX_24R_1","DMSO_24R_1","DOX_144R_1","DMSO_144R_1","DOX_24T_2","DMSO_24T_2","DOX_24R_2","DMSO_24R_2","DOX_144R_2","DMSO_144R_2","DOX_24T_3","DMSO_24T_3","DOX_24R_3","DMSO_24R_3","DOX_144R_3","DMSO_144R_3","DOX_24T_4","DMSO_24T_4","DOX_24R_4","DMSO_24R_4","DOX_144R_4","DMSO_144R_4","DOX_24T_5","DMSO_24T_5","DOX_24R_5","DMSO_24R_5","DOX_144R_5","DMSO_144R_5","DOX_24T_6","DMSO_24T_6","DOX_24R_6","DMSO_24R_6","DOX_144R_6","DMSO_144R_6"
"653635",2.99649054710975,2.7730268168759,3.65646043944797,2.93620317552112,2.88861529245387,2.79576441881462,2.63348148329189,2.73858733780268,3.14538145947264,2.53142981266343,2.71188889113221,3.00725226750029,1.36650648622353,2.09330417305114,2.85807992295168,2.30011256317311,2.67178269754698,2.59693343402509,2.68132473046645,2.66039405616785,3.00702044566634,2.66337565360356,3.17850060743019,2.59133943716246,2.45233945717218,2.35199125119673,3.36332755767919,2.47273167787824,2.34615799066141,2.52565843922473,2.90067813961997,2.97274095650686,3.308780085274,2.89298476534526,2.90612298051447,2.87266463815817
"729737",2.20421295661067,2.84911386653469,2.58056448024155,2.93620317552112,3.3074129354377,2.95960878634206,1.60004131805999,3.25165131150357,1.90924257326245,2.7817367584103,2.75703200957339,3.31582162513196,2.76632697861255,3.7673194906597,2.19266481606158,3.43766402511659,3.16803475284504,3.48133322647024,2.57752064584411,2.86749320031157,2.46712217378694,3.13110096596246,3.38499527236928,3.09246261683174,2.65400558359068,3.72348651150833,3.71886834881,3.98587149059318,3.698526766109,3.98670365288563,2.18770855902565,2.87247180106647,2.09518027514901,3.008007096601,2.86619278805771,2.79402412669289
"102723897",3.64702986923221,3.2081301603574,4.03302546223524,3.35403012941055,3.72526412505914,3.24022484228044,3.19137030237107,3.17480352437128,3.43353142295517,3.0856626568248,3.31516618138426,3.54715977817193,2.3577235470168,2.81831222905281,3.5179709560282,2.3269142400892,3.06021074821705,3.16586693230272,3.55195340106174,2.95668682196887,3.71139427807255,3.17184534459361,3.59915933432549,3.03854898396825,3.04175010285482,2.81877651955946,3.81902006381265,3.25360908887333,2.92255446383132,2.73506791528086,3.41903332116943,3.09643551293832,3.81651196396745,3.16498348770584,3.15287915669781,3.11589028305913
"100132287",2.11868900189016,1.99461017168686,2.55336787497399,2.05620239263294,2.38808713821103,2.14070138229202,1.12238333184702,1.68513042783193,0.967364808945258,1.93890644805699,1.90318711006219,2.26093746403683,1.44799540058081,2.45931808268813,1.98589554159279,1.88504576754737,2.38941155803427,2.5376105603904,1.88094892912767,1.62248868903933,1.29188189139737,1.59974520511168,1.98629816795746,1.61578371930543,1.53494610537052,2.26382857527215,2.35658985231894,2.17161883659082,2.18967144509057,2.33877194152593,1.5092494266047,1.43116330996286,0.824735406890658,1.81290299609258,1.83754453409824,1.46007627190959
"102465432",7.0231064300313,6.5862207629223,6.4331394055837,6.49263118604422,6.80830532304828,6.38550463193911,6.16007552557581,5.91134263375015,5.54526223055477,5.30244904833229,6.63261671203056,6.24118732833572,6.7504869515207,5.7474131599122,5.95065415461805,5.95983268151524,6.3903048147535,5.7575322151979,5.94634175362847,4.89814990012611,5.55988607227023,5.09907520703104,5.68388033593641,5.20131029247352,6.52276622661818,5.91778925794079,6.23268990344533,6.01121754609501,6.43373781435348,5.78572082712777,5.68370742915697,5.07619569255221,5.60020108141256,4.76314739819412,6.19943475359352,5.94769427852672
"100133331",2.01430533960045,2.13496766151132,2.74984537638009,2.34564553299741,2.69638969437189,2.4529353295132,1.20108710489029,1.86145976648828,1.39963482039481,1.93890644805699,2.49808827785365,2.52400133519469,1.24408854969235,2.80177919321655,2.11573604687619,2.48598973228744,2.68998563479754,2.65391301948297,1.88094892912767,1.7373810333666,1.62338934287476,1.70528777117189,2.44802881785635,2.00121811924609,1.37806544123093,2.59618002445462,2.77244011833885,2.59480833577522,2.06506681205514,2.66858575331702,1.35713157917965,1.71469813009044,1.50986902324228,2.06750113256009,2.12380252020384,1.79433377941711
"79854",-0.583100287948345,-0.387238594125313,0.325164330628703,-0.350379249773896,-0.0909722949748025,-0.204881816624264,0.162422113756544,-0.848575152379672,-0.551628870697318,-2.22838047835957,-0.00230998960306177,-0.157974289034644,-1.73217422736871,-1.60312867661707,0.666558326905075,-1.32236996816706,-0.292624352014559,-0.273577285548714,0.419904944905363,-1.35265312289719,-0.485646523824763,-0.775741628133083,-0.693059608754382,-0.886316066885828,-0.180559335505352,-1.33085114816555,-0.341228268319648,-0.484392084838835,-1.09608216007279,-0.458796881878674,-0.284708334857877,-1.27701268801221,-0.284122361622083,-0.698794469696589,-0.641515008905154,-0.537583550557235
"643837",6.31254878531449,6.789618484074,6.06472177009464,6.74851171875743,6.7611646275315,7.02903982155405,5.88905750973446,6.46449290382447,5.99630483435675,6.50354229925754,6.15970445804504,6.66885338211106,5.51223822804263,6.53199240683715,5.55442734499487,6.72478258255944,5.06740578292255,6.68480967132965,6.22411107506772,5.5975609428366,5.43208445860515,6.12354497714964,5.86094248270665,6.29858145984172,6.24532968116523,6.26235745255608,6.04101059238777,6.254149998528,6.33548609136626,6.63145493348801,6.35098874872742,6.11322577138414,5.66825950750095,6.38157571837685,6.15178969186996,6.67679998325261
"100130417",1.0492882578941,-0.319029687364012,0.561908856623168,-0.278319762689502,0.335969041347694,-0.303981684714257,2.41974369585977,-0.579170689250436,-0.618826910179779,-1.03730602584753,-0.697582362461913,-0.623998072249958,0.18911082918717,-0.879702029578301,0.920281918898669,-0.774540388320022,-0.735383112278656,-0.777100351917456,1.72125519611147,-1.80352354085399,-1.44489899482884,-1.06032572324153,-1.18041051554866,-1.06364868852193,0.703819136858655,-0.0451499832303631,-0.719416170188145,-0.697199393916397,-1.28732177075879,-0.833898993094644,2.32162148242112,-1.27701268801221,-1.40383912559283,-0.850896708015995,-1.31362377009597,-1.47332793435147
"148398",3.53830660688298,0.317089483817946,2.86492607832517,-0.021449442322313,1.27321353665604,0.743259682412797,4.00831663287474,-0.156209968314403,2.28507341331302,-0.179873045682056,-0.106276275130413,0.0716465850202286,1.61255010182603,-0.25469217542474,3.94385099023994,0.404210065646352,0.41016600290582,-0.0491009729626794,4.24356861057463,-0.628591951441881,1.01435483049549,-1.33689342300297,-1.35636700312554,-0.6794003700549,3.3836243799348,0.268526112505374,2.35658985231894,0.345170150279435,-0.706110229676471,-0.332379457692088,4.39766760561689,0.157581520313132,1.85112621479223,0.439195666456283,-1.19623262566792,-1.47332793435147
