"","V1","V2"
"1",0.99445472132517,0.00554527867483012
"2",0.998378456987902,0.00162154301209813
"3",0.993042467337558,0.00695753266244219
"4",0.997217700289758,0.00278229971024196
"5",0.951910751166608,0.0480892488333922
"6",0.994358933784011,0.00564106621598936
"7",0.867247486044641,0.132752513955359
"8",0.995366265907621,0.00463373409237931
"9",0.995403764508406,0.00459623549159388
"10",0.995366159631612,0.00463384036838766
"11",0.998150154797582,0.00184984520241764
"12",0.995732571316135,0.00426742868386475
"13",0.973079523720709,0.026920476279291
"14",0.97622999210459,0.0237700078954096
"15",0.994364253324614,0.00563574667538582
"16",0.998120054806355,0.00187994519364515
"17",0.99440796193322,0.00559203806678
"18",0.995597748912305,0.00440225108769444
"19",0.990242413941822,0.00975758605817823
"20",0.997715973623244,0.00228402637675608
"21",0.993995296283803,0.00600470371619735
"22",0.995591928021244,0.00440807197875614
"23",0.997526578281336,0.00247342171866363
"24",0.995309806908182,0.00469019309181772
"25",0.998166020684433,0.00183397931556734
"26",0.986061158249043,0.0139388417509567
"27",0.998153279101046,0.00184672089895343
"28",0.994017044187607,0.00598295581239347
"29",0.997038333887505,0.00296166611249516
"30",0.986451302028001,0.0135486979719994
"31",0.99793628846643,0.00206371153357039
"32",0.994335487923598,0.00566451207640152
"33",0.0161490466441379,0.983850953355862
"34",0.998006971024817,0.00199302897518285
"35",0.995907856443945,0.0040921435560546
"36",0.998051970595075,0.00194802940492533
"37",0.991323298658941,0.00867670134105898
"38",0.993735579911336,0.00626442008866407
"39",0.994625505534671,0.00537449446532918
"40",0.996560079925134,0.00343992007486644
"41",0.994638015317974,0.00536198468202622
"42",0.996453897838737,0.00354610216126257
"43",0.996443190739586,0.00355680926041434
"44",0.995027060910779,0.00497293908922077
"45",0.996388102989531,0.00361189701046947
"46",0.995186102012671,0.0048138979873295
"47",0.998289620297687,0.00171037970231326
"48",0.993804555454753,0.00619544454524712
"49",0.992943979460271,0.00705602053972943
"50",0.997609456508972,0.00239054349102829
"51",0.996196162782229,0.00380383721777129
"52",0.997927741330016,0.0020722586699838
"53",0.997296653955597,0.00270334604440262
"54",0.9949049713609,0.00509502863910037
"55",0.997773502148268,0.00222649785173228
"56",0.992917208149724,0.00708279185027581
"57",0.996784257577915,0.0032157424220853
"58",0.918402999409232,0.0815970005907682
"59",0.729489683453651,0.270510316546349
"60",0.996336713030439,0.00366328696956081
"61",0.996661208701393,0.00333879129860713
"62",0.993552125108034,0.0064478748919661
"63",0.998130414420513,0.00186958557948667
"64",0.990191315187818,0.00980868481218159
"65",0.996857196335787,0.00314280366421305
"66",0.997601553492545,0.00239844650745539
"67",0.995715098294152,0.00428490170584809
"68",0.99800722964192,0.00199277035808015
"69",0.995382014077336,0.00461798592266414
"70",0.998199777859135,0.00180022214086543
"71",0.992929400031507,0.00707059996849298
"72",0.995473466705412,0.00452653329458777
"73",0.99429498907289,0.00570501092711031
"74",0.0144052645380741,0.985594735461926
"75",0.99241620386103,0.00758379613896963
"76",0.993467159569268,0.00653284043073212
"77",0.997022329184859,0.00297767081514132
"78",0.990106563173568,0.00989343682643209
"79",0.865967904066482,0.134032095933518
"80",0.9954033940432,0.00459660595680032
"81",0.990569563087992,0.00943043691200754
"82",0.982581125950293,0.0174188740497074
"83",0.99838280324157,0.00161719675843001
"84",0.997484159193476,0.00251584080652381
"85",0.997870340049328,0.00212965995067226
"86",0.996036449508888,0.00396355049111239
"87",0.997009006616583,0.00299099338341703
"88",0.99493449500338,0.0050655049966195
"89",0.996475878225876,0.00352412177412425
"90",0.995718037218341,0.00428196278165961
"91",0.984362715353677,0.015637284646323
"92",0.23758421709314,0.76241578290686
"93",0.9971068853898,0.00289311461019952
"94",0.977519347030865,0.0224806529691354
"95",0.703471179042159,0.296528820957841
"96",0.996372759080995,0.00362724091900522
"97",0.936515789858892,0.063484210141108
"98",0.996267906358937,0.00373209364106331
"99",0.997663047402485,0.00233695259751505
"100",0.996291365756239,0.00370863424376075
"101",0.995285653206255,0.00471434679374455
"102",0.998407659529281,0.00159234047071905
"103",0.996862240951941,0.00313775904805919
"104",0.997418353946373,0.00258164605362706
"105",0.988909544934641,0.0110904550653592
"106",0.988330228716132,0.0116697712838682
"107",0.998371881096972,0.00162811890302845
"108",0.998210901019129,0.00178909898087064
"109",0.997496531410129,0.00250346858987053
"110",0.99681641382254,0.0031835861774596
"111",0.983862495194989,0.0161375048050113
"112",0.996163681990224,0.00383631800977615
"113",0.994719362816374,0.00528063718362593
"114",0.994894745692438,0.00510525430756234
"115",0.994362039349212,0.00563796065078846
"116",0.996862941246213,0.00313705875378732
"117",0.99219197462648,0.0078080253735197
"118",0.988159513637605,0.0118404863623947
"119",0.997257646069067,0.00274235393093288
"120",0.997803179281462,0.00219682071853774
"121",0.998091437123044,0.00190856287695586
"122",0.997720604388826,0.00227939561117355
"123",0.993389499110925,0.00661050088907493
"124",0.997931822264332,0.00206817773566768
"125",0.990953517376995,0.00904648262300451
"126",0.997891066181729,0.00210893381827061
"127",0.997680066491758,0.00231993350824171
"128",0.986066972637254,0.0139330273627461
"129",0.977160430168105,0.0228395698318945
"130",0.955285284807384,0.0447147151926161
"131",0.99614967077745,0.00385032922255004
