"","Individual","Line","Treatment","Timepoint","Condition","Magnification","Image","Nuclei_Count","Mean_of_Mean","Mean_of_Median","Mean_of_Max","Mean_Percent_Red_Positive","Mean_Red_Positive_Pixels","Mean_Norm_Percent_Red_Positive"
"120","Ind4","84-1","DOX","144R","DOX_144R","20X","DOX_144R_EMP_250904_RGB_0003_DAPI",37,12.912303030303,9.6969696969697,34.4848484848485,30.6554242424242,101.757575757576,30.6555153023438
"121","Ind4","84-1","DOX","144R","DOX_144R","20X","DOX_144R_EMP_250904_RGB_0004_DAPI",65,15.2748833333333,9.66666666666667,55.9166666666667,67.47125,231.733333333333,67.4712919047903
"122","Ind4","84-1","DOX","144R","DOX_144R","20X","DOX_144R_EMP_250904_RGB_0005_DAPI",39,14.1725555555556,9.86111111111111,50.7777777777778,91.0309722222222,416,91.0309668241296
"123","Ind4","84-1","DOX","24R","DOX_24R","20X","DOX_24R_EMP_250904_RGB_0001_DAPI",17,53.1413529411765,15.4705882352941,157.470588235294,486.884882352941,1062.47058823529,486.885263892837
"124","Ind4","84-1","DOX","24R","DOX_24R","20X","DOX_24R_EMP_250904_RGB_0002_DAPI",19,36.8463684210526,12.5789473684211,103.210526315789,439.750105263158,1702.52631578947,439.750220834646
"125","Ind4","84-1","DOX","24R","DOX_24R","20X","DOX_24R_EMP_250904_RGB_0003_DAPI",61,33.4580163934426,13.655737704918,87.6885245901639,391.834196721311,1073.34426229508,391.834232250103
"126","Ind4","84-1","DOX","24R","DOX_24R","20X","DOX_24R_EMP_250904_RGB_0004_DAPI",81,38.6342784810127,14.1518987341772,102.139240506329,379.60246835443,1407.25316455696,379.60239449256
"127","Ind4","84-1","DOX","24R","DOX_24R","20X","DOX_24R_EMP_250904_RGB_0005_DAPI",18,41.4115882352941,14.6470588235294,145.882352941176,459.575941176471,1135.52941176471,459.576342045991
"128","Ind4","84-1","DOX","24R","DOX_24R","20X","DOX_24R_EMP_250904_RGB_0006_DAPI",65,42.5063076923077,14.2,108.046153846154,387.825123076923,1286.21538461538,387.825234838769
"129","Ind4","84-1","DOX","24R","DOX_24R","20X","DOX_24R_EMP_250904_RGB_0007_DAPI",36,31.1234571428571,12.2285714285714,95.4,385.560771428571,1078.17142857143,385.56077328539
"130","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0001_DAPI",84,36.9837469879518,21.0963855421687,90.0240963855422,612.495963855422,2072.46987951807,612.496059620798
"131","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0002_DAPI",17,35.5232352941176,19.1176470588235,110.235294117647,532.307,2949.58823529412,532.307221054743
"132","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0003_DAPI",29,28.7794482758621,18.7241379310345,76.448275862069,522.38675862069,2068.41379310345,522.386716757531
"133","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0004_DAPI",29,28.7794482758621,18.7241379310345,76.448275862069,522.38675862069,2068.41379310345,522.386716757531
"134","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0005_DAPI",34,54.6328823529412,18.0294117647059,171.823529411765,557.8455,2519.08823529412,557.845367504782
"135","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0006_DAPI",48,61.2972708333333,19.0208333333333,174.479166666667,547.5040625,2299.85416666667,547.504128647328
"136","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0007_DAPI",46,48.0457173913044,16.5,163.391304347826,536.372326086956,2145.54347826087,536.372294989262
"137","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0008_DAPI",46,49.6894222222222,17.0888888888889,164.111111111111,549.708644444444,2180.84444444444,549.708615780324
"138","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0009_DAPI",4,57.00575,17.5,195,588.802,2887.5,588.801772911805
"139","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0010_DAPI",12,34.0565,14.4166666666667,127.583333333333,356.942833333333,2279.5,356.942721099393
"140","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0011_DAPI",46,31.4279090909091,13.8181818181818,126.954545454545,389.031227272727,2106.04545454545,389.031161286398
"141","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0012_DAPI",46,60.747847826087,25.6304347826087,195.021739130435,668.531847826087,2622.73913043478,668.531574966204
"142","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0013_DAPI",58,67.9953793103448,28.3793103448276,193.344827586207,672.668603448276,2273.93103448276,672.668791526431
"143","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0014_DAPI",41,44.8544634146341,17.6585365853659,140.80487804878,530.675414634146,2256.65853658537,530.675406857429
"144","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0015_DAPI",39,52.7486666666667,17.4871794871795,153.282051282051,496.688102564103,2060.5641025641,496.687986822748
"145","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0016_DAPI",72,38.818,16.3098591549296,120.859154929577,495.531014084507,2042.52112676056,495.531041757841
"146","Ind4","84-1","DOX","24T","DOX_24T","20X","DOX_24T_EMP_250904_RGB_0017_DAPI",39,49.3888461538462,18.1794871794872,146.666666666667,570.586743589744,2431.51282051282,570.58699518174
