"","Individual","Line","Treatment","Timepoint","Condition","Magnification","Image","Nuclei_Count","Mean_of_Mean","Mean_of_Median","Mean_of_Max","Mean_Percent_Red_Positive","Mean_Red_Positive_Pixels","Mean_Norm_Percent_Red_Positive"
"29","Ind3","75-1","VEH","144R","VEH_144R","20X","DMSO_144R_75_EMP_20X_RGB_0006_DAPI",175,14.9957430555556,11.0347222222222,40.1041666666667,68.1957916666667,181.888888888889,68.1957167653587
"30","Ind3","75-1","VEH","144R","VEH_144R","20X","DMSO_144R_75_EMP_20X_RGB_0007_DAPI",156,14.49196875,10.703125,41.7421875,38.1797734375,133.5078125,38.1797181200942
"31","Ind3","75-1","VEH","144R","VEH_144R","20X","DMSO_144R_75_EMP_20X_RGB_0008_DAPI",69,13.0159636363636,9.81818181818182,36.2909090909091,26.5591090909091,215.709090909091,26.5590721746086
"32","Ind3","75-1","VEH","144R","VEH_144R","20X","DMSO_144R_75_EMP_20X_RGB_0009_DAPI",136,13.3591517857143,10.0803571428571,35.3125,42.4110892857143,135.482142857143,42.4110748596944
"33","Ind3","75-1","VEH","144R","VEH_144R","20X","DMSO_144R_75_EMP_20X_RGB_0010_DAPI",62,14.0287916666667,9.20833333333333,55.625,27.6866458333333,100.583333333333,27.6867891447238
"34","Ind3","75-1","VEH","144R","VEH_144R","20X","DMSO_144Rd_75_EMP_20X_RGB_0006_DAPI",24,11.6810666666667,8.8,50.1333333333333,44.9093333333333,173.266666666667,44.9093720726046
"35","Ind3","75-1","VEH","144R","VEH_144R","20X","DMSO_144Rd_75_EMP_20X_RGB_0007_DAPI",20,14.7595789473684,9.1578947368421,70.2105263157895,130.141473684211,661.578947368421,130.141466163632
"36","Ind3","75-1","VEH","144R","VEH_144R","20X","DMSO_144Rd_75_EMP_20X_RGB_0008_DAPI",45,10.8171,8.7,34.3,0.815033333333333,3.63333333333333,0.815077957862301
"37","Ind3","75-1","VEH","144R","VEH_144R","20X","DMSO_144Rd_75_EMP_20X_RGB_0009_DAPI",72,16.58485,10.375,68.125,72.937975,134.45,72.9377892651074
"38","Ind3","75-1","VEH","144R","VEH_144R","20X","DMSO_144Rd_75_EMP_20X_RGB_0010_DAPI",115,15.8226504854369,10.5339805825243,45.8834951456311,62.6830485436893,312.116504854369,62.6830236851506
"39","Ind3","75-1","VEH","24R","VEH_24R","20X","DMSO_24R_75_EMP_20X_RGB_0001_DAPI",207,16.9135463917526,11.4226804123711,44.2319587628866,82.526324742268,358.953608247423,82.5263074680247
"40","Ind3","75-1","VEH","24R","VEH_24R","20X","DMSO_24R_75_EMP_20X_RGB_0002_DAPI",38,12.03284375,8.90625,51.15625,22.6714375,150.125,22.6714336441755
"41","Ind3","75-1","VEH","24R","VEH_24R","20X","DMSO_24R_75_EMP_20X_RGB_0003_DAPI",26,11.8364210526316,8.36842105263158,40.6842105263158,26.7848947368421,130.842105263158,26.7848547100261
"42","Ind3","75-1","VEH","24R","VEH_24R","20X","DMSO_24R_75_EMP_20X_RGB_0004_DAPI",143,14.7874651162791,10.2558139534884,53.7674418604651,50.6446899224806,217.325581395349,50.644692496446
"43","Ind3","75-1","VEH","24R","VEH_24R","20X","DMSO_24R_75_EMP_20X_RGB_0005_DAPI",68,15.2931111111111,9.23809523809524,59.7460317460317,31.0590476190476,165.730158730159,31.059039045121
"44","Ind3","75-1","VEH","24R","VEH_24R","20X","DMSO_24R_75_EMP_20X_RGB_0006_DAPI",13,13.0331818181818,8.45454545454546,54.9090909090909,46.2379090909091,220.727272727273,46.2378260171064
"45","Ind3","75-1","VEH","24R","VEH_24R","20X","DMSO_24R_75_EMP_20X_RGB_0007_DAPI",126,15.6180964912281,10.6052631578947,52.5175438596491,56.6069385964912,282.464912280702,56.6068572922047
"46","Ind3","75-1","VEH","24R","VEH_24R","20X","DMSO_24R_75_EMP_20X_RGB_0012_DAPI",77,14.6435735294118,9.19117647058824,50.5,24.3825588235294,163.191176470588,24.3825318993132
"47","Ind3","75-1","VEH","24R","VEH_24R","20X","DMSO_24Rdup_75_EMP_20X_RGB_0005_DAPI",95,14.2289642857143,9.89285714285714,42.1428571428571,35.2226666666667,149.642857142857,35.2226252885696
"48","Ind3","75-1","VEH","24R","VEH_24R","20X","DMSO_24Rdup_75_EMP_20X_RGB_0006_DAPI",220,16.1950753768844,11.7386934673367,43.3517587939699,87.2891055276382,362.929648241206,87.2891192574593
"49","Ind3","75-1","VEH","24R","VEH_24R","20X","DMSO_24Rdup_75_EMP_20X_RGB_0007_DAPI",38,15.2224545454545,10.1212121212121,57.3333333333333,107.850636363636,507.454545454545,107.850564407513
