"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"653635",-0.183331369949383,3.2249670687525,-1.18463024766732,0.244281243372367,0.303317995477708,-6.48661643916235
"729737",-1.0227529442364,3.30607355150121,-5.18444756725798,9.59427416012721e-06,3.21508101331293e-05,2.95069823886585
"102723897",0.0815614010954269,3.40251660434944,0.537057893395019,0.59468348482706,0.654920229136954,-7.08652315404455
"100132287",-0.40640967257131,2.59812472894423,-2.04308005122586,0.0487626338814763,0.07243823576604,-5.07979517215567
"102465432",0.570353224792423,6.50207732900216,3.04805231649952,0.00440629002107374,0.00828326989782788,-3.32746749151818
"100133331",-0.752270488897165,2.39507336541976,-3.83720361929379,0.000508114028561044,0.00116578829914526,-0.776332167239518
"79854",0.832873702882829,0.300262405294644,2.35069751640486,0.0246038958042208,0.0390387726441939,-4.11030810039097
"643837",-0.337137556639437,5.82333766379001,-2.39281771652096,0.0223174848004198,0.0357454211249677,-4.81872076626047
"100130417",2.34236784412638,0.0812680109991223,6.57110935223684,1.48990791226531e-07,7.86361643779099e-07,7.33596306014083
"148398",3.60420234354391,0.607742428307635,7.96162634178343,2.58987213528621e-09,2.24481713711642e-08,11.2927359682224
"26155",0.926709135917568,6.4347217227515,9.68086486812167,2.34667182938024e-11,4.2750628403175e-10,15.6037571959859
"339451",0.349690125339074,3.79577950285746,1.73678326853218,0.0913709526027061,0.127307645258164,-5.85998824946164
"57801",0.29452163565725,5.27541397037155,1.59358264735841,0.120174756198451,0.162383913749705,-6.27417406710713
"9636",1.05497548622949,3.19122521075155,4.36764549569613,0.000109417934014516,0.000290732120459056,0.475232779574206
"375790",0.522188609054542,9.27061167787648,2.12070997404304,0.0412305357739148,0.0622895169599795,-5.18292442396827
"54991",-1.09485500206718,3.19201310434901,-6.49465667423134,1.8708888987751e-07,9.56076307693098e-07,6.86678630574582
"51150",0.677740569952237,8.13305061447126,5.31947094852954,6.3905018859205e-06,2.22641354025537e-05,3.12930546635733
"126792",-0.905468168860922,5.64497733107186,-9.15251174494369,9.56874034904692e-11,1.32637747394001e-09,14.2155653691789
"388581",0.805451669799356,-0.103055371221024,2.72440880979805,0.0100513355944863,0.01742012519698,-3.27374203926179
"118424",0.314601036997958,5.42311376205292,2.05706116350384,0.047322965002087,0.070511710287709,-5.4710017694373
"6339",1.94853115477421,3.2374057240999,9.06873626194436,1.199736093972e-10,1.61456965503618e-09,14.1433530021604
"116983",0.528196651030012,6.2571169798349,3.85344124252794,0.000485171909113024,0.00111798786073212,-1.21779477755096
"126789",-0.654307150539573,2.78407085733355,-3.91819759594734,0.000403298414996237,0.000943599673910313,-0.656493735396521
"54973",-0.268901155003159,5.77285749344264,-2.86009508864338,0.00715001161747858,0.0128120405894977,-3.76168680583627
"80772",-0.479385518867614,4.47082642957324,-2.28753289032016,0.0284308373549535,0.0444919300639977,-4.89755657006076
"83756",1.85181852400618,1.10613736295016,7.73036776458119,5.01238814722736e-09,3.99401145688083e-08,10.6192035879206
"1855",-0.466294584615922,5.526485220204,-3.78408548242246,0.000590774912181333,0.00133786271825471,-1.37225687172718
"54587",-0.261507253880169,4.03086245006225,-0.937162079687856,0.355206398465985,0.420590458912961,-6.94052901275703
"54998",-0.00826415857776563,5.49233400242775,-0.0710184326070986,0.943794230017003,0.954729041300845,-7.51906684375055
"81669",1.25458855465258,7.45956261116174,7.11220138020171,3.0118032443945e-08,1.91415937223634e-07,8.44913317259927
"148413",0.238495937971666,3.54837484291024,1.44267499440205,0.158153320091579,0.207247862212073,-6.23471640404764
"55052",-0.495872833162843,5.28017581978417,-5.02570292969317,1.54567920469886e-05,4.91507451300977e-05,2.22066516316882
"64856",-0.161379778642394,2.96137655473008,-0.611205877481388,0.545080010237726,0.607629479688127,-7.08705483276441
"219293",0.0224582007455854,0.0729524309357114,0.0701725093981949,0.944462578102361,0.955202687939519,-6.71653299127067
"83858",0.0533870034041168,4.72152603655942,0.274357755797587,0.785450067191916,0.824428933596323,-7.4043293194807
"55210",-0.818761927994163,4.82069562971685,-6.52729195610951,1.69751913350986e-07,8.79724085151199e-07,6.75141544042952
"339453",-1.60502556279919,0.832266383220378,-7.604195134492,7.20434490863122e-09,5.49010190243164e-08,10.3083108386689
"29101",-0.447465825127096,6.04917517474369,-3.4317914831681,0.00157705533751846,0.00326752356792459,-2.34305125823614
"643988",-0.017699188332136,3.59868347620721,-0.0715685087577573,0.943359647287145,0.954356845379725,-7.34659859831697
"142678",0.846058294195572,6.65643425586896,6.88141375800647,5.93874592425329e-08,3.46523646656002e-07,7.71879078011745
"8510",-0.21277055881236,4.13990019173445,-0.846133480397831,0.403324029386469,0.469757343158032,-7.04396857315783
"984",-0.00895113944006809,5.53133999181874,-0.0823244838606714,0.934865689993963,0.948041205029997,-7.51202683812729
"728661",-0.750819212907235,6.747570243897,-6.80641385945059,7.41217905760964e-08,4.22866408133795e-07,7.49337778438828
"8511",-0.186065997361295,5.10521762170824,-0.759336217275162,0.45282202896696,0.518509286907469,-7.2143662480074
"728642",0.320349883215554,5.42486621111849,2.52343773328421,0.0164006997848253,0.0271116801175684,-4.51620569642
"9906",-0.629099757447937,5.50005815367619,-4.62064982576552,5.18144331820669e-05,0.000147062610254513,1.01522946715697
"65220",0.0809932281422094,5.38063612938664,0.773041382095472,0.444775751552803,0.51068430650987,-7.2083312362199
"2782",-0.84826759618699,8.14470058409733,-5.5126037287917,3.57130003744492e-06,1.31797539268489e-05,3.68717452139554
"5590",-1.80609636231471,4.34473082380339,-10.0707868016613,8.51398283434801e-12,1.87556492623122e-10,16.7682409713919
"100506504",-0.0286571711261788,1.00500426519041,-0.113397431338117,0.910374476113196,0.928266903330119,-6.82703966618868
