"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"653635",0.402910334570703,3.2249670687525,2.78837406627969,0.00856864710064318,0.0202379702343968,-3.33848937011822
"729737",-0.936254429614098,3.30607355150121,-4.87279714226675,2.44376332184231e-05,0.000139578169148225,2.29437108513463
"102723897",0.435700714645419,3.40251660434944,3.01043449744209,0.00485983786291551,0.0124799172093054,-2.83335802648463
"100132287",-0.435249442115561,2.59812472894423,-2.21819109529901,0.0332411292460313,0.0634978294655712,-4.42173543306445
"102465432",0.0920400267712305,6.50207732900216,0.493702997431995,0.62465250157593,0.705616848380068,-7.07194816987635
"100133331",-0.381580599251747,2.39507336541976,-2.06974635064396,0.0460491624167034,0.0836667880528836,-4.6869597687771
"79854",0.869354776450238,0.300262405294644,2.54071323219855,0.0157362433029641,0.0339041931771205,-3.43874963501103
"643837",-0.952241840711654,5.82333766379001,-6.72084331653223,9.5499741078875e-08,1.39394576198615e-06,7.53526239349594
"100130417",0.127461581272123,0.0812680109991223,0.319215317794392,0.751493035720515,0.812613561280928,-6.27258172082851
"148398",2.2526450376229,0.607742428307635,4.7464724961649,3.56351658797214e-05,0.000193133966779611,2.18920286192804
"26155",0.61234828538685,6.4347217227515,6.40477504665409,2.44634292636326e-07,3.00679694099532e-06,6.5906074398789
"339451",-0.357084520501021,3.79577950285746,-1.70598892908863,0.0970218355264915,0.156061071995488,-5.52589993907234
"57801",-1.02776721170153,5.27541397037155,-5.2875994157693,7.03414503434185e-06,4.88230357473296e-05,3.31145961372788
"9636",0.526777581226436,3.19122521075155,2.08863843496666,0.0442079651890967,0.0808240364584621,-4.80314023355843
"375790",-0.284671971240279,9.27061167787648,-1.18403797777345,0.244512499016173,0.334081533722574,-6.31771428111963
"54991",-1.04052266231698,3.19201310434901,-6.34216362016952,2.94968616701732e-07,3.51895914384802e-06,6.63162165039919
"51150",0.0682823949153244,8.13305061447126,0.541518991246046,0.591639017436326,0.677084326300412,-6.95525915016168
"126792",-0.272229446123774,5.64497733107186,-2.8555126987196,0.00723363432209296,0.0175170657632419,-3.44354850965801
"388581",0.82404014362512,-0.103055371221024,2.79834274327492,0.00835684457958169,0.0198115327044752,-2.82396272045093
"118424",0.559352431836607,5.42311376205292,3.69909830537644,0.00075086593357322,0.00257032017758425,-1.28856040824687
"6339",0.610474441764205,3.2374057240999,2.64412185061127,0.0122497050716601,0.027415368384042,-3.61468647483407
"116983",-0.130047092473219,6.2571169798349,-0.950123047148098,0.348675495613883,0.445377736101266,-6.74048618621746
"126789",-0.90060487017784,2.78407085733355,-5.34844467969576,5.85651581053017e-06,4.20870768550339e-05,3.74745155180699
"54973",0.299760797867782,5.77285749344264,3.24454372233418,0.00261961154571593,0.00744693621661831,-2.4939856654282
"80772",-0.246919915346414,4.47082642957324,-1.23652060738399,0.224638449323481,0.311760203915133,-6.32436363065641
"83756",1.22061970899565,1.10613736295016,4.78329233929,3.1929151474098e-05,0.00017567973541618,2.27017638564395
"1855",-0.307440744792413,5.526485220204,-2.53855331244875,0.0158179456167036,0.0340392490660623,-4.15427091079562
"54587",-1.09057269254289,4.03086245006225,-3.66682378412462,0.000822073251846288,0.00277583432857622,-1.18875362909266
"54998",0.162077763256812,5.49233400242775,1.4090857437103,0.167782801492304,0.245753062046675,-6.19221237054528
"81669",-0.207554612304013,7.45956261116174,-1.22538196108538,0.228752501007978,0.316351850679277,-6.41448723957463
"148413",0.351680745525377,3.54837484291024,2.22318449386281,0.0328718481377524,0.0629519852192693,-4.60661195219071
