"","DOX_24T_Ind1","DMSO_24T_Ind1","DOX_24R_Ind1","DMSO_24R_Ind1","DOX_144R_Ind1","DMSO_144R_Ind1","DOX_24T_Ind2","DMSO_24T_Ind2","DOX_24R_Ind2","DMSO_24R_Ind2","DOX_144R_Ind2","DMSO_144R_Ind2","DOX_24T_Ind3","DMSO_24T_Ind3","DOX_24R_Ind3","DMSO_24R_Ind3","DOX_144R_Ind3","DMSO_144R_Ind3","DOX_24T_Ind4","DMSO_24T_Ind4","DOX_24R_Ind4","DMSO_24R_Ind4","DOX_144R_Ind4","DMSO_144R_Ind4","DOX_24T_Ind5","DMSO_24T_Ind5","DOX_24R_Ind5","DMSO_24R_Ind5","DOX_144R_Ind5","DMSO_144R_Ind5","DOX_24T_Ind6","DMSO_24T_Ind6","DOX_24R_Ind6","DMSO_24R_Ind6","DOX_144R_Ind6","DMSO_144R_Ind6","DOX_24T_Ind6REP","DMSO_24T_Ind6REP","DOX_24R_Ind6REP","DMSO_24R_Ind6REP","DOX_144R_Ind6REP","DMSO_144R_Ind6REP"
"653635",2.96823406293091,3.06679123789102,3.51573902197245,2.8811466542536,3.03758719169512,3.36232254239483,1.92228642152718,2.66895455716679,3.60133481190965,2.75096158781699,3.62697965598682,2.97181198629251,3.43205828827216,3.95094315794697,3.98091231047095,3.58339076305825,3.90499542177395,3.55455890093542,3.23737229636931,3.0822808700379,3.89880478306885,3.2268203361554,3.19743384344975,3.16887465705161,2.76115686929413,2.69031402233912,3.58217208549907,2.78255197002439,2.74364002669913,2.86773897143107,3.2756375108566,3.43771711362048,3.63741110792367,3.34744009235971,3.28015666876897,3.31340024457635,3.29757462469305,3.05563042825119,3.45779434880211,3.15854327095655,3.21451032244902,2.77854477088295
"729737",1.81948203380349,3.50829480331215,2.16249712736491,3.0558714510137,2.99970709433997,3.59233303382736,3.22523344576845,4.25027004593486,2.80455849247732,3.79849798873753,3.99916967761002,3.77264489804382,3.20181055792793,4.02819203507555,3.3052491525246,3.92984200364501,3.99199043927933,3.93406993117847,2.2754962050439,2.9980187484332,2.64770939894016,3.06657806285732,3.46404137952414,3.16887465705161,2.79818097210779,3.90473055136186,3.76811296863521,4.12455393708359,3.93312789347774,4.16379618408554,2.42688514538379,3.21369776438924,2.28980517823787,3.34744009235971,3.13303965347562,3.12490386483685,1.77227231629771,2.60636100298139,2.4991640577008,2.54654620688416,2.76974575097606,3.1933145656232
"102723897",3.28895928192721,3.31799228406758,3.54487328029953,3.24094661017096,3.42822994193187,3.70348870989584,2.65323233927428,3.14648126142244,3.95736701999391,2.54317262600756,3.70726637927914,3.32919619240432,3.99162335587999,3.92424618550428,4.36012401158227,3.78913073511899,4.02823736323747,3.69245621311981,3.47091766088784,3.11174115543262,3.85364966413927,3.24832548948764,3.65802134503382,3.20264639505543,2.94572313881199,2.7524573454307,3.62038447765543,3.13136698121636,2.91332866990168,2.66379659968346,3.47335830746617,3.26722090661508,3.81997810494584,3.32995408197917,3.26095703505427,3.29041795829193,3.34567260085001,2.91376229289463,3.72679134508637,2.94946361324095,3.20727066088259,3.02501647284069
"100132287",1.62290168419795,2.15112818659567,1.52731568293984,2.44157186855015,2.39907721945591,2.77501833093636,2.21800010510338,3.25061800213258,2.96501494660442,2.52271021916597,3.58509615487038,3.08111674465145,2.88122717046145,3.16083410747399,2.51527561241351,2.75336663451052,2.94361564286219,2.81470223593711,2.68118734899339,2.62161220088376,3.12631498902719,2.66961711210455,3.00418293321321,2.8445608456757,2.1519620096694,2.9319718038619,2.91005536015003,2.82226537440319,2.91332866990168,3.01095151318731,2.13405212733468,2.1141222716927,1.39990807688601,2.49605603149828,2.4074280672023,2.09936024385112,1.62413867381445,1.95039710695102,2.22212745099424,1.88617629108826,2.25563729994799,2.35569831176581
"102465432",6.53451848874506,6.2764344017963,5.95581849523079,5.68418904862441,6.99917851184499,6.62886722630035,7.36394888485837,6.37386884485552,6.74197761807339,6.45265916125695,7.39667125435568,6.16854408088396,6.75114459341375,6.24326248180447,6.58705350573421,6.07167562475473,6.45895847373493,6.2158400004,7.32632938154711,6.95936921788094,6.73934438437512,6.84781299210543,7.18031413223783,6.82441698054707,6.89689642626326,6.32478117548652,6.51378974798273,6.38774113445237,6.89314423050836,6.18924323594153,6.11003538470242,5.58391211927913,5.97635077724896,5.2654036620892,6.61451804850252,6.42923911718138,6.15058450932041,5.62318772778792,5.95225972680958,5.55193609583499,5.92736909639256,5.60234097175611
"100133331",1.39524548025927,2.07292394362069,1.62149127677462,2.1768762495963,2.70240089942537,2.76685072726474,1.65239325573279,3.23874965248142,2.67439857180298,2.80279689186417,3.47145674872814,2.90542064158398,2.44305272929699,2.83508385529891,2.40396337624156,2.44399007712744,3.00310452338696,2.78211631878665,2.01231778734148,2.20960995409228,2.74982335442598,2.41455565339047,2.79243165953132,2.59617743977628,1.44681330366147,2.70834407048231,2.75552609056187,2.65639850578912,2.23221192289729,2.77782713462033,1.54967142876836,2.00632718002882,1.64839292428434,2.35333765184576,2.34801465817532,2.07266816072792,1.22192490022251,1.83518133958235,1.81557502302938,1.77947950710492,2.10795896149041,1.94113919097349
"79854",0.872658518597333,-0.264418834913005,0.179559766202348,-1.87686306656016,0.65269392208231,0.521073968902621,-0.844760102548716,-0.762644677467231,1.90830438099671,-0.605640031034047,1.1064566785422,0.39783903153213,1.70788964008447,0.324471682400507,1.00876719013317,0.620229735385984,0.462599820197583,0.504065972553945,0.298475227484491,0.565980436438073,1.30117775659308,0.618625100903234,0.875771397465712,0.865635267682413,0.776286262889045,-0.450202688325212,0.574325571223311,0.512810906383997,-0.122600734070729,0.531777642444784,0.627185507230117,-0.424888697192537,0.542100510320228,0.195709472543944,0.150540733333611,0.288767942657219,0.906307165654313,-0.0963052530380437,0.0980622545336616,-0.546042661624341,0.562174819564898,-0.509708629180141
"643837",5.56044775957598,6.26943849185349,5.63978138278116,6.31209145270478,5.87910092213373,6.4624681823178,5.331394061339,6.39474252923226,5.45128804613601,6.51743566543608,5.16545789643452,6.47000414752947,6.09183543291185,5.98121722235185,5.49075036379256,6.18531019761972,5.75179748108748,6.3975687980768,5.38722265551941,5.96487355786998,5.12471241040897,5.91869066409349,6.00226886230022,6.24494075091607,5.41720432207292,5.45798245138418,5.08222100485018,5.35030109562057,5.58566088278241,5.81383379323776,5.82840981985381,5.75395179541816,5.08263942536535,6.02668085604057,5.78601799829513,6.37428803472425,5.57110386615613,5.16601732602871,4.88159300156699,5.18479197552971,5.42210184676626,5.70661357462507
"100130417",2.8631969351231,-0.185397121958739,-0.217048850026596,-0.704278143280173,-0.311049816287314,-0.225330403837572,0.853646579881656,-0.28043173469429,1.77607053225816,-0.283922508187595,0.255341034027371,-0.343253119655165,2.62330665192054,-0.622232900812993,-0.514476899817638,-0.112979165639047,-0.453448790611403,-0.0788633421614291,1.48647656179377,0.120689843884112,0.972973707485688,0.15525413396432,0.786983211659181,0.242589558741799,1.19249184795796,0.466040187692445,-0.385181750309027,-0.233250702384826,-0.75775901546647,-0.388094372644308,2.84697680463442,-0.763528064990287,-0.993508220133312,-0.363229098121566,-0.969570507656482,-1.07298077503203,1.64350878254235,-0.215472650853676,0.0980622545336616,-1.12336225695725,-0.275796080373417,-0.509708629180141
"148398",3.86491547446547,-0.264418834913005,2.12440335671917,-0.249137805823088,-0.236821128158655,0.0143060161981265,1.6324703834512,-0.213683206404283,4.07460195478597,0.348046778086857,0.720837602604697,-0.119385572621745,4.35690245416275,-0.0459421681168767,1.30760375222615,-1.10363000835048,-1.29891753055624,-0.414295204153452,2.93472327163747,-0.202830446597728,2.25170784113731,-0.531522387694641,0.786983211659181,0.285243478559363,2.86949512208297,-0.228203258140341,1.721253646286,-0.233250702384826,-1.16478938593876,-0.8270615406514,4.12339994366432,0.0251988552974514,1.51992848112805,0.29517633338162,-1.38748416537064,-1.65186564918469,3.08733927283414,-1.14122287640242,0.955737247192697,-1.24681571827527,-1.13834392297523,-0.770652518306062
