"","X.1","X","Sample","Sample_bam","Total_reads","Total_Align","Counts","Line","Sex","Ind","Old_Ind","Treatment","Old_Drug","Time","Old_Time","Sample_name","Sample_ID","Final_sample_name","Cond","Old_Condition","Timepoint","Sample_name_plots"
"19",19,19,"MCW_EMP_JT_R27","MCW_EMP_JT_R27.bam",39238422,"39,238,422","23,533,985","84-1","M","4","1","DOX","DOX","t0","24T","84-1_DOX_24","84-1_DOX_24","DOX_t0_4","DOX_t0","DOX_24T","tx+0","DOX_tx+0_4"
"20",20,20,"MCW_EMP_JT_R29","MCW_EMP_JT_R29.bam",33045795,"33,045,795","22,892,686","84-1","M","4","1","VEH","DMSO","t0","24T","84-1_DMSO_24","84-1_DMSO_24","VEH_t0_4","VEH_t0","DMSO_24T","tx+0","VEH_tx+0_4"
"21",21,21,"MCW_EMP_JT_R30","MCW_EMP_JT_R30.bam",37648682,"37,648,682","23,932,153","84-1","M","4","1","DOX","DOX","t24","24R","84-1_DOX_24+24","84-1_DOX_24+24","DOX_t24_4","DOX_t24","DOX_24R","tx+24","DOX_tx+24_4"
"22",22,22,"MCW_EMP_JT_R32","MCW_EMP_JT_R32.bam",31416100,"31,416,100","21,337,454","84-1","M","4","1","VEH","DMSO","t24","24R","84-1_DMSO_24+24","84-1_DMSO_24+24","VEH_t24_4","VEH_t24","DMSO_24R","tx+24","VEH_tx+24_4"
"23",23,23,"MCW_EMP_JT_R33","MCW_EMP_JT_R33.bam",27938027,"27,938,027","18,260,440","84-1","M","4","1","DOX","DOX","t144","144R","84-1_DOX_24+144","84-1_DOX_24+144","DOX_t144_4","DOX_t144","DOX_144R","tx+144","DOX_tx+144_4"
"24",24,24,"MCW_EMP_JT_R35","MCW_EMP_JT_R35.bam",41639178,"41,639,178","28,167,799","84-1","M","4","1","VEH","DMSO","t144","144R","84-1_DMSO_24+144","84-1_DMSO_24+144","VEH_t144_4","VEH_t144","DMSO_144R","tx+144","VEH_tx+144_4"
"25",25,25,"MCW_EMP_JT_R63","MCW_EMP_JT_R63.bam",32614592,"32,614,592","22,697,304","17-3","M","5","5","DOX","DOX","t0","24T","17-3_DOX_24","17-3_DOX_24","DOX_t0_5","DOX_t0","DOX_24T","tx+0","DOX_tx+0_5"
"26",26,26,"MCW_EMP_JT_R65","MCW_EMP_JT_R65.bam",32306434,"32,306,434","24,639,151","17-3","M","5","5","VEH","DMSO","t0","24T","17-3_DMSO_24","17-3_DMSO_24","VEH_t0_5","VEH_t0","DMSO_24T","tx+0","VEH_tx+0_5"
"27",27,27,"MCW_EMP_JT_R66","MCW_EMP_JT_R66.bam",35228581,"35,228,581","24,885,980","17-3","M","5","5","DOX","DOX","t24","24R","17-3_DOX_24+24","17-3_DOX_24+24","DOX_t24_5","DOX_t24","DOX_24R","tx+24","DOX_tx+24_5"
"28",28,28,"MCW_EMP_JT_R68","MCW_EMP_JT_R68.bam",35003101,"35,003,101","26,036,618","17-3","M","5","5","VEH","DMSO","t24","24R","17-3_DMSO_24+24","17-3_DMSO_24+24","VEH_t24_5","VEH_t24","DMSO_24R","tx+24","VEH_tx+24_5"
